match_id,venue,innings,ball,batting_team,bowling_team,runs_off_bat,total_run,runs_6_overs,wickets_6_overs
335985,Wankhede Stadium,1,3.4,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,3.5,Mumbai Indians,Royal Challengers Bangalore,2,154,41,3
335985,Wankhede Stadium,1,3.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,4.1,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,4.2,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,4.3,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,4.4,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,4.5,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,4.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,4.7,Mumbai Indians,Royal Challengers Bangalore,6,154,41,3
335985,Wankhede Stadium,1,5.1,Mumbai Indians,Royal Challengers Bangalore,1,154,41,3
335985,Wankhede Stadium,1,5.2,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,5.3,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,5.4,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,5.5,Mumbai Indians,Royal Challengers Bangalore,1,154,41,3
335985,Wankhede Stadium,1,5.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.1,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.2,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.3,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.4,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.5,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.6,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.7,Chennai Super Kings,Mumbai Indians,2,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.1,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.2,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.3,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.4,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.5,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.6,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.1,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.2,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.3,Chennai Super Kings,Mumbai Indians,6,190,46,2
